Place,Date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bhopal,01/1/15,15.4,13.1,14.2,15.4,13.1,14.2,13.7,96.5,24,100,16.67,rain,0,0,35.3,22.3,59.2,1013.3,88.8,1.1,60.1,5.2,3,,2015-01-01 7:01:51,2015-01-01 17:45:39,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,🌧️,"42667099999,remote"
Bhopal,02/1/15,16.7,13.7,15.1,16.7,13.7,15.1,14.4,96.1,0.2,100,4.17,rain,0,0,25.2,12.6,49,1015,99.2,0.5,42.2,3.7,2,,2015-01-02 7:02:09,2015-01-02 17:46:18,0.4,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,🌧️,"42667099999,remote"
Bhopal,03/1/15,18.8,14.4,16.4,18.8,14.4,16.4,15,91.3,0,0,0,,0,0,15.5,9.4,5.6,1016.6,83.8,1.4,82,7,3,,2015-01-03 7:02:26,2015-01-03 17:46:57,0.43,Partially cloudy,Partly cloudy throughout the day.,⛅,"42667099999,remote"
Bhopal,04/1/15,18.4,12.1,14.9,18.4,12.1,14.9,13.2,90.2,0,0,0,,0,0,24.1,14.8,18.4,1018.4,54.5,1.5,137.2,11.8,5,,2015-01-04 7:02:41,2015-01-04 17:47:37,0.47,Partially cloudy,Partly cloudy throughout the day.,⛅,"42667099999,remote"
Bhopal,05/1/15,20.5,8.7,13.9,20.5,8.7,13.9,10.2,80.8,0,0,0,,0,0,19.4,14.8,350,1018,0.6,2.5,199.4,17.1,7,,2015-01-05 7:02:56,2015-01-05 17:48:17,0.5,Clear,Clear conditions throughout the day.,☀️,"42667099999,remote"
Bhopal,06/1/15,25.1,8.1,15.8,25.1,7.9,15.7,9.3,69.9,0,0,0,,0,0,12.6,9.7,292.1,1016.5,0,3.3,200.9,17.5,7,,2015-01-06 7:03:09,2015-01-06 17:48:58,0.53,Clear,Clear conditions throughout the day.,☀️,"42667099999,remote"
Bhopal,07/1/15,24.4,9.7,16.3,24.4,9.2,16.2,10,69.4,0,0,0,,0,0,23.4,14.8,259.6,1014.9,0,3.3,197.5,16.9,7,,2015-01-07 7:03:20,2015-01-07 17:49:39,0.57,Clear,Clear conditions throughout the day.,☀️,"42667099999,remote"
Bhopal,08/1/15,22.6,10.1,15.3,22.6,10.1,15.3,9.5,71.3,0,0,0,,0,0,21.2,11.2,25.5,1016.9,1.4,3.5,199.6,17.2,7,,2015-01-08 7:03:31,2015-01-08 17:50:21,0.6,Clear,Clear conditions throughout the day.,☀️,"42667099999,remote"
Bhopal,09/1/15,23.2,9.1,14.9,23.2,8,14.7,8.9,71.2,0,0,0,,0,0,19.1,10.1,55,1018.8,5.9,3.1,203.6,17.6,7,,2015-01-09 7:03:40,2015-01-09 17:51:03,0.63,Clear,Clear conditions throughout the day.,☀️,"42667099999,remote"
Bhopal,10/1/15,23.4,7.9,15.3,23.4,7.7,15.3,8.5,67.5,0,0,0,,0,0,18.4,13,10.3,1018.6,6,3.3,204.4,17.7,8,,2015-01-10 7:03:47,2015-01-10 17:51:45,0.67,Clear,Clear conditions throughout the day.,☀️,"42667099999,remote"
Bhopal,11/1/15,24.8,9.4,16.5,24.8,9.4,16.5,9.3,66.2,0,0,0,,0,0,18.4,11.2,1.3,1018.1,14.4,3.8,203.1,17.5,7,,2015-01-11 7:03:54,2015-01-11 17:52:27,0.7,Clear,Clear conditions throughout the day.,☀️,"42667099999,remote"
Bhopal,12/1/15,23.9,9.4,15.8,23.9,8.1,15.7,9.8,71.2,0,0,0,,0,0,20.2,14.8,10.3,1017.5,4.2,4,206.2,17.7,8,,2015-01-12 7:03:59,2015-01-12 17:53:10,0.73,Clear,Clear conditions throughout the day.,☀️,"42667099999,remote"
Bhopal,13/1/15,22.9,8.9,14.9,22.9,7.5,14.7,9.9,74.3,0,0,0,,0,0,20.2,14.8,63.8,1016.4,54.4,3.5,204.7,17.7,7,,2015-01-13 7:04:02,2015-01-13 17:53:53,0.75,Partially cloudy,Partly cloudy throughout the day.,⛅,"42667099999,remote"
