Place,Date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Chennai,01/1/15,29.1,23.1,26.1,33.7,23.1,27.9,23.9,88.1,0.4,100,4.17,rain,0,0,22.3,11.2,118,1008.8,45.5,4.7,163.7,14.1,7,,2015-01-01 6:31:09,2015-01-01 17:53:17,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,🌧️,"43279099999,remote"
Chennai,02/1/15,31.1,23.1,26.6,37.9,23.1,29.1,24.5,89.1,0.1,100,4.17,rain,0,0,25.6,20.5,132.6,1011.1,41.2,4.5,190.7,16.4,7,,2015-01-02 6:31:32,2015-01-02 17:53:51,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,🌧️,"43279099999,remote"
Chennai,03/1/15,31.1,25.1,27.1,36.7,25.1,29.2,24.4,86.1,0.4,100,8.33,rain,0,0,24.8,18.4,124.5,1012.5,41.1,5,158.5,13.6,6,,2015-01-03 6:31:54,2015-01-03 17:54:25,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,🌧️,"43279099999,remote"
Chennai,04/1/15,30.1,23.1,26.2,34.3,23.1,27.6,23.5,86,0.4,100,8.33,rain,0,0,20.5,14.8,71.4,1012.5,35,4.8,171.1,14.8,6,,2015-01-04 6:32:15,2015-01-04 17:54:59,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,🌧️,"43279099999,remote"
Chennai,05/1/15,31.1,23.1,26.5,33.8,23.1,27.7,23,82.5,0,0,0,,0,0,25.9,20.5,30.5,1012.2,38.3,5.4,207.8,17.9,8,,2015-01-05 6:32:36,2015-01-05 17:55:33,0.5,Partially cloudy,Partly cloudy throughout the day.,⛅,4.33E+10
Chennai,06/1/15,30.1,23.1,25.8,33.4,23.1,26.7,22.8,84.5,0,0,0,,0,0,23,16.6,24.5,1012.6,36.6,5.3,193.6,16.7,7,,2015-01-06 6:32:55,2015-01-06 17:56:07,0.53,Partially cloudy,Partly cloudy throughout the day.,⛅,"43279099999,remote"
Chennai,07/1/15,30.1,23.1,25.4,34.3,23.1,26.4,22.9,87.1,0,0,0,,0,0,20.5,18.4,58.4,1012.5,43.5,3.7,194.9,16.8,7,,2015-01-07 6:33:14,2015-01-07 17:56:41,0.57,Partially cloudy,Partly cloudy throughout the day.,⛅,"43279099999,remote"
Chennai,08/1/15,30.1,22.1,25.7,33.4,22.1,26.8,22.5,83.6,0,0,0,,0,0,18,18.4,104,1012.8,38.3,3.9,166.4,14.3,6,,2015-01-08 6:33:31,2015-01-08 17:57:15,0.6,Partially cloudy,Partly cloudy throughout the day.,⛅,4.33E+10
Chennai,09/1/15,28.1,23.1,25.2,31.4,23.1,26,22.1,83.7,0,0,0,,0,0,29.2,18.4,43.9,1014.1,46.7,3.9,171.9,14.9,7,,2015-01-09 6:33:48,2015-01-09 17:57:49,0.63,Partially cloudy,Partly cloudy throughout the day.,⛅,4.33E+10
Chennai,10/1/15,29.1,20.1,24.1,28.9,20.1,24.1,17.5,68.8,0,0,0,,0,0,33.1,18.4,10.5,1014.5,31.7,5.1,236.2,20.2,8,,2015-01-10 6:34:04,2015-01-10 17:58:23,0.67,Partially cloudy,Partly cloudy throughout the day.,⛅,4.33E+10
Chennai,11/1/15,29.1,20.1,24.4,29.2,20.1,24.4,18.1,70.1,0,0,0,,0,0,30.2,18.4,29.6,1014.6,46.7,5.1,177.8,15.4,6,,2015-01-11 6:34:19,2015-01-11 17:58:57,0.7,Partially cloudy,Partly cloudy throughout the day.,⛅,4.33E+10
Chennai,12/1/15,29.1,20.1,24,29.5,20.1,24.1,18.1,71.2,0,0,0,,0,0,34.6,22.3,25.5,1013.9,35,5.8,184,15.7,8,,2015-01-12 6:34:32,2015-01-12 17:59:31,0.73,Partially cloudy,Partly cloudy throughout the day.,⛅,4.33E+10
Chennai,13/1/15,29.1,19.1,23.9,29.9,19.1,24.2,18.4,73.2,0,0,0,,0,0,31,16.6,10.1,1013.2,29.6,5.8,243.4,20.9,8,,2015-01-13 6:34:45,2015-01-13 18:00:05,0.75,Partially cloudy,Partly cloudy throughout the day.,⛅,"43279099999,remote"
Chennai,14/1/15,28.1,20.1,23.6,28.9,20.1,23.8,18.3,73.8,0,0,0,,0,0,32.4,18.4,36.3,1012.9,35,4.5,217.1,18.7,8,,2015-01-14 6:34:57,2015-01-14 18:00:38,0.8,Partially cloudy,Partly cloudy throughout the day.,⛅,4.33E+10
Chennai,15/1/15,29.1,19.1,24.2,30.9,19.1,24.7,19.5,76.6,0,0,0,,0,0,32,14.8,27.2,1012.9,38.9,5.1,199.3,17.1,8,,2015-01-15 6:35:07,2015-01-15 18:01:11,0.83,Partially cloudy,Partly cloudy throughout the day.,⛅,"43279099999,remote"
Chennai,16/1/15,29.1,22.1,25.2,30.9,22.1,25.9,21.4,80.9,0.1,100,4.17,rain,0,0,33.5,18.4,27.5,1013.3,38.3,4.4,191.9,16.4,7,,2015-01-16 6:35:17,2015-01-16 18:01:44,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,🌧️,"43279099999,remote"
Chennai,17/1/15,29.1,21.1,24.7,30.9,21.1,24.9,19.4,74.2,0,0,0,,0,0,32.8,18.4,37.2,1013.8,37.5,4.6,237.9,20.6,8,,2015-01-17 6:35:25,2015-01-17 18:02:16,0.89,Partially cloudy,Partly cloudy throughout the day.,⛅,4.33E+10
Chennai,18/1/15,29.1,20.1,24,30.4,20.1,24.3,19.2,75.9,0,0,0,,0,0,29.5,18.4,47.2,1014.5,35.9,4.8,242.4,21,9,,2015-01-18 6:35:33,2015-01-18 18:02:49,0.93,Partially cloudy,Partly cloudy throughout the day.,⛅,"43279099999,remote"
Chennai,19/1/15,29.1,20.1,24,30.4,20.1,24.2,18.6,73.8,0,0,0,,0,0,31.7,22.3,58.4,1014.3,29.7,4.5,236.9,20.6,8,,2015-01-19 6:35:39,2015-01-19 18:03:21,0.96,Partially cloudy,Partly cloudy throughout the day.,⛅,"43279099999,remote"
Chennai,20/1/15,29.1,20.1,24.1,30.4,20.1,24.4,18.8,74,0,0,0,,0,0,33.1,22.3,52.7,1015.7,33.8,4.9,246.2,21.2,9,,2015-01-20 6:35:44,2015-01-20 18:03:52,0,Partially cloudy,Partly cloudy throughout the day.,⛅,"43279099999,remote"
Chennai,21/1/15,29.1,20.1,24.2,29.5,20.1,24.2,17.9,70.5,0,0,0,,0,0,33.8,22.3,45.5,1017.1,35,5.8,250.3,21.7,9,,2015-01-21 6:35:48,2015-01-21 18:04:23,0.02,Partially cloudy,Partly cloudy throughout the day.,⛅,4.33E+10
Chennai,22/1/15,28.1,21.1,24.7,30.8,21.1,25.3,20.6,78.6,0,0,0,,0,0,30.2,22.3,41.3,1016.7,75,5,159.7,13.8,7,,2015-01-22 6:35:51,2015-01-22 18:04:54,0.06,Partially cloudy,Partly cloudy throughout the day.,⛅,4.33E+10
Chennai,23/1/15,29.1,23.1,25.7,32.1,23.1,26.6,22.3,82.3,0.5,100,4.17,rain,0,0,29.5,22.3,48,1014.3,60,5.5,169.3,14.6,7,,2015-01-23 6:35:53,2015-01-23 18:05:24,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,🌧️,4.33E+10
Chennai,24/1/15,30.1,23.1,25.3,34.3,23.1,26.1,22.1,82.7,3,100,4.17,rain,0,0,30.2,24.1,45.2,1014.5,50.9,5.3,172.2,15,7,,2015-01-24 6:35:54,2015-01-24 18:05:54,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,🌧️,"43279099999,remote"
Chennai,25/1/15,29.1,20.1,24.9,30.9,20.1,25.4,20.2,76.5,0,0,0,,0,0,32.4,22.3,50.3,1015.8,39.2,6.3,224.7,19.5,8,,2015-01-25 6:35:54,2015-01-25 18:06:24,0.16,Partially cloudy,Partly cloudy throughout the day.,⛅,4.33E+10
Chennai,26/1/15,30.1,21.1,25.2,31.4,21.1,25.6,20,74.3,0,0,0,,0,0,29.2,20.5,64.6,1015.1,43.5,5.6,168.4,14.6,6,,2015-01-26 6:35:52,2015-01-26 18:06:52,0.2,Partially cloudy,Partly cloudy throughout the day.,⛅,"43279099999,remote"
Chennai,27/1/15,28.1,22.1,25.3,30.2,22.1,25.9,20.7,76.5,0,0,0,,0,0,36,24.1,45,1013.5,50.8,4.9,140,12,5,,2015-01-27 6:35:50,2015-01-27 18:07:21,0.25,Partially cloudy,Partly cloudy throughout the day.,⛅,4.33E+10
Chennai,28/1/15,29.1,21.1,25.3,30.9,21.1,25.9,20.4,75.2,0,0,0,,0,0,26.6,22.3,54.7,1012.3,44.2,4.9,152.1,13.3,5,,2015-01-28 6:35:46,2015-01-28 18:07:49,0.27,Partially cloudy,Partly cloudy throughout the day.,⛅,4.33E+10
