Place,Date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,icon,description,stations
Delhi,01/1/15,21,9,14.4,21,9,14.4,10.6,80.1,0,0,0,,0,0,18.7,9.4,10.9,1017,58.9,0.7,124.4,10.7,5,,2015-01-01 7:13:56,2015-01-01 17:35:06,0.36,Partially cloudy,⛅,Partly cloudy throughout the day.,"42182099999,VIDP,42181099999,remote"
Delhi,02/1/15,15.5,12,14.2,15.5,12,14.2,12.8,91.1,9.805,100,12.5,rain,0,0,23,11.2,95.6,1018,81.4,1.4,42.2,3.7,2,,2015-01-02 7:14:11,2015-01-02 17:35:48,0.4,"Rain, Partially cloudy",🌧️,Partly cloudy throughout the day with rain in the morning and afternoon.,"42182099999,VIDP,42181099999,remote"
Delhi,03/1/15,17,13,14.8,17,13,14.8,13.5,92,0,0,0,,0,0,17.6,9.4,303.9,1017.3,92.9,0.9,64.4,5.5,3,,2015-01-03 7:14:25,2015-01-03 17:36:30,0.43,Overcast,☁️,Cloudy skies throughout the day.,"42182099999,VIDP,42181099999,remote"
Delhi,04/1/15,18,10,13.8,18,8.4,13.7,10.9,84.1,0,0,0,,0,0,28.1,16.6,296.7,1019.2,46.5,0.8,131.3,11.2,5,,2015-01-04 7:14:37,2015-01-04 17:37:13,0.47,Partially cloudy,⛅,Partly cloudy throughout the day.,"42182099999,VIDP,42181099999,remote"
Delhi,05/1/15,20.5,8,13.1,20.5,5.5,12.2,8.5,75.8,0,0,0,,0,0,50.4,26.6,288.5,1016.3,12.7,1.6,169.2,14.7,6,,2015-01-05 7:14:48,2015-01-05 17:37:57,0.5,Clear,☀️,Clear conditions throughout the day.,"42182099999,VIDP,42181099999,remote"
Delhi,06/1/15,17.1,9,11.7,17.1,7.2,11.1,8.6,82.7,0,0,0,,0,0,40,11.7,296.2,1015.2,33.2,0.8,138.3,11.8,6,,2015-01-06 7:14:57,2015-01-06 17:38:42,0.53,Partially cloudy,⛅,Clearing in the afternoon.,"42182099999,VIDP,42181099999,remote"
Delhi,07/1/15,13.6,6,9.7,13.6,5.1,9.5,8.2,90.9,0,0,0,,0,0,22.7,13,291.2,1015.8,33.6,0.7,97.1,8.4,4,,2015-01-07 7:15:04,2015-01-07 17:39:27,0.57,Partially cloudy,⛅,Partly cloudy throughout the day.,"42182099999,VIDP,42181099999,remote"
Delhi,08/1/15,12.9,7,9,12.9,5.6,8.5,7.9,93.4,0,0,0,,0,0,19.1,9.4,275.8,1018.2,55,0.3,162.6,13.9,6,,2015-01-08 7:15:10,2015-01-08 17:40:13,0.6,Partially cloudy,⛅,Partly cloudy throughout the day.,"42182099999,VIDP,42181099999,remote"
Delhi,09/1/15,15,7,9.6,15,5.6,9.1,7.7,89.3,0,0,0,,0,0,20.9,7.6,288.9,1019.5,50.1,0.9,164.9,14.2,6,,2015-01-09 7:15:15,2015-01-09 17:41:00,0.63,Partially cloudy,⛅,Partly cloudy throughout the day.,"42182099999,VIDP,42181099999,remote"
Delhi,10/1/15,17,7.8,11.1,17,6.4,10.6,8,83.3,0,0,0,,0,0,32.4,13.7,292.4,1018.4,6.1,1.3,172,14.7,7,,2015-01-10 7:15:18,2015-01-10 17:41:47,0.67,Clear,☀️,Clear conditions throughout the day.,"42182099999,VIDP,42181099999,remote"
Delhi,11/1/15,15,7,10.3,15,6.8,9.9,7.7,85.5,0,0,0,,0,0,26.3,13,304.3,1018.5,29.2,0.8,139.6,12.1,5,,2015-01-11 7:15:19,2015-01-11 17:42:35,0.7,Partially cloudy,⛅,Partly cloudy throughout the day.,"42182099999,VIDP,42181099999"
Delhi,12/1/15,16,6.7,10.8,16,6.4,10.5,8.4,86.4,0,0,0,,0,0,13.3,9.4,112.6,1018.8,41.4,0.8,142.9,12.2,6,,2015-01-12 7:15:18,2015-01-12 17:43:23,0.73,Partially cloudy,⛅,Partly cloudy throughout the day.,"42182099999,VIDP,42181099999,remote"
Delhi,13/1/15,17.5,6,10.9,17.5,5.1,10.5,8.5,86.8,0,0,0,,0,0,25.9,18.4,121.2,1016.9,28.2,0.7,139.7,12,6,,2015-01-13 7:15:16,2015-01-13 17:44:11,0.75,Partially cloudy,⛅,Partly cloudy throughout the day.,"42182099999,VIDP,42181099999,remote"
Delhi,14/1/15,15,9.3,12.2,15,9.3,12.2,9.9,86.6,0.936,100,8.33,rain,0,0,35.6,18.4,115.5,1016.3,60.9,1,121.6,10.6,5,,2015-01-14 7:15:13,2015-01-14 17:45:00,0.8,"Rain, Partially cloudy",🌧️,Partly cloudy throughout the day with rain.,"42182099999,VIDP,42181099999"
Delhi,15/1/15,18,5,11.1,18,4.4,10.8,8.4,85.4,0,0,0,,0,0,14.8,11.2,275.9,1019,21.2,0.5,157,13.7,6,,2015-01-15 7:15:08,2015-01-15 17:45:49,0.83,Partially cloudy,⛅,Clearing in the afternoon.,"42182099999,VIDP,42181099999,remote"
Delhi,16/1/15,19.5,8,12.2,19.5,6.8,11.9,10.2,89.1,0,0,0,,0,0,22,12.4,265.2,1018.9,36.1,0.6,167.7,14.6,7,,2015-01-16 7:15:01,2015-01-16 17:46:39,0.86,Partially cloudy,⛅,Clearing in the afternoon.,"42182099999,VIDP,42181099999,remote"
Delhi,17/1/15,21,8,13,21,7.2,12.8,10.2,84.6,0,0,0,,0,0,22,13,288.6,1018.7,29.9,0.9,175.7,15.3,7,,2015-01-17 7:14:52,2015-01-17 17:47:28,0.89,Partially cloudy,⛅,Clearing in the afternoon.,"42182099999,VIDP,42181099999,remote"
Delhi,18/1/15,21,6,12.6,21,6,12.5,8.8,80.4,0,0,0,,0,0,22,14.8,284.2,1018.4,9.1,0.9,180.7,15.6,7,,2015-01-18 7:14:42,2015-01-18 17:48:18,0.93,Clear,☀️,Clear conditions throughout the day.,"42182099999,VIDP,42181099999,remote"
