Place,Date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,icon,description,stations
Kolkata,01/1/15,24,18,20.7,24,18,20.7,17.4,81.9,1,100,4.17,rain,0,0,26.6,13,88.2,1013.9,88.4,1.6,38.8,3.4,2,,6:16:35 AM,5:03:10 PM,0.36,"Rain, Partially cloudy",🌧️,Partly cloudy throughout the day with late afternoon rain.,"41946099999,VECC,42809099999"
Kolkata,02/1/15,27,19,23,28.8,19,23.2,19.3,80.6,0,0,0,,0,0,32.4,22.3,76.7,1013.9,83.6,2.5,95.2,8.1,4,,6:16:53 AM,5:03:48 PM,0.4,Partially cloudy,⛅,Partly cloudy throughout the day.,"41946099999,VECC,42809099999"
Kolkata,03/1/15,29,21,24,32.7,21,24.8,21,83.8,46,100,12.5,rain,0,0,22.3,18.1,100.3,1013.8,66.2,2.3,106.7,9.3,5,,6:17:11 AM,5:04:27 PM,0.43,"Rain, Partially cloudy",🌧️,Partly cloudy throughout the day with rain.,"41946099999,VECC,42809099999"
Kolkata,04/1/15,25,20,22,25,20,22,19.4,85.5,0,0,0,,0,0,25.9,14.8,335,1013.5,66.2,2.5,53.5,4.5,2,,6:17:27 AM,5:05:06 PM,0.47,Partially cloudy,⛅,Partly cloudy throughout the day.,"41946099999,VECC,42809099999"
Kolkata,05/1/15,24,17,20.4,24,17,20.4,15.5,75.4,0,0,0,,0,0,29.2,16.6,320.9,1012.7,13.8,2.5,173.7,15,7,,6:17:42 AM,5:05:46 PM,0.5,Clear,☀️,Clear conditions throughout the day.,"41946099999,VECC,42809099999"
Kolkata,06/1/15,24,14,18.6,24,14,18.6,13.2,73.4,0,0,0,,0,0,23.4,13,310.6,1013.5,11.2,2.1,191,16.4,7,,6:17:55 AM,5:06:26 PM,0.53,Clear,☀️,Clear conditions throughout the day.,"41946099999,VECC,42809099999"
Kolkata,07/1/15,24,13.9,18.2,24,13.9,18.2,13.4,76.3,0,0,0,,0,0,22,14.8,314.8,1013.5,3.1,2.1,192.5,16.6,7,,6:18:07 AM,5:07:07 PM,0.57,Clear,☀️,Clear conditions throughout the day.,"41946099999,VECC,42809099999"
Kolkata,08/1/15,25,13.9,18.6,25,13.9,18.6,13.8,76,0,0,0,,0,0,27.4,14.8,301.1,1013.5,19.3,1.9,170.2,14.7,7,,6:18:18 AM,5:07:48 PM,0.6,Clear,☀️,Clear conditions throughout the day.,"41946099999,VECC,42809099999,remote"
Kolkata,09/1/15,23,15,18.5,23,15,18.5,13.8,75.8,0,0,0,,0,0,31.7,14.8,319.9,1014.6,4.7,1.8,177.7,15.5,7,,6:18:28 AM,5:08:29 PM,0.63,Clear,☀️,Clear conditions throughout the day.,"41946099999,VECC,42809099999"
Kolkata,10/1/15,25,14,18.8,25,14,18.8,12.6,70.8,0,0,0,,0,0,23.4,13,342.1,1015,0,2.5,197.9,17,7,,6:18:36 AM,5:09:11 PM,0.67,Clear,☀️,Clear conditions throughout the day.,"41946099999,VECC,42809099999"
Kolkata,11/1/15,18,12,15,18,12,15,12.7,86.6,0,0,0,,0,0,28.1,14.8,359.8,1016.9,6.6,1.6,197.3,17,7,,6:18:43 AM,5:09:52 PM,0.7,Clear,☀️,Clear conditions throughout the day.,"41946099999,VECC,42809099999"
Kolkata,12/1/15,24,11,16.5,24,11,16.5,11,72.8,0,0,0,,0,0,28.4,14.8,353.8,1015.9,0.5,2.1,199.8,17.3,7,,6:18:49 AM,5:10:34 PM,0.73,Clear,☀️,Clear conditions throughout the day.,"41946099999,VECC,42809099999"
Kolkata,13/1/15,23,12,17.3,23,12,17.3,12.1,73.7,0,0,0,,0,0,23,13,335.4,1014.9,10.2,1.9,199.6,17.2,7,,6:18:53 AM,5:11:17 PM,0.75,Clear,☀️,Clear conditions throughout the day.,"41946099999,VECC,42809099999"
Kolkata,14/1/15,24,12.9,17.7,24,12.9,17.7,13,76.8,0,0,0,,0,0,24.8,14.6,343.9,1015.4,0.6,1.7,200.2,17.3,7,,6:18:56 AM,5:11:59 PM,0.8,Clear,☀️,Clear conditions throughout the day.,"41946099999,VECC,42809099999"
Kolkata,15/1/15,25,12,17.8,25,12,17.8,13.2,76.5,0,0,0,,0,0,27,14.8,354.4,1015.1,0,1.7,201.3,17.3,7,,6:18:57 AM,5:12:41 PM,0.83,Clear,☀️,Clear conditions throughout the day.,"41946099999,VECC,42809099999"
Kolkata,16/1/15,26,14.9,19.7,26,14.9,19.7,13.6,70.1,0,0,0,,0,0,28.4,14.8,357.9,1014.6,31.6,2.4,167.2,14.5,7,,6:18:58 AM,5:13:24 PM,0.86,Partially cloudy,⛅,Partly cloudy throughout the day.,"41946099999,VECC,42809099999"
Kolkata,17/1/15,25,15,19.2,25,15,19.2,11.9,64.9,0,0,0,,0,0,30.6,16.6,340.4,1014.2,24.2,2.6,198.3,17.1,7,,6:18:56 AM,5:14:06 PM,0.89,Partially cloudy,⛅,Partly cloudy throughout the day.,"41946099999,VECC,42809099999"
