Place,Date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,icon,description,stations
Mumbai,01/1/15,27.1,20.1,23.7,27.3,20.1,23.7,13.8,53.9,0,0,0,,0,0,24.5,18.4,297,1009.4,36.9,2,169,14.6,6,,7:11:42 AM,6:12:22 PM,0.36,Partially cloudy,⛅,Partly cloudy throughout the day.,"43003099999,remote"
Mumbai,02/1/15,27.1,20.1,23.6,27.5,20.1,23.6,16.6,66.2,0,0,0,,0,0,20.9,14.8,329.6,1012,21.6,1.8,194.9,16.7,7,,7:12:02 AM,6:12:59 PM,0.4,Partially cloudy,⛅,Partly cloudy throughout the day.,"43003099999,remote"
Mumbai,03/1/15,29,21.1,24.3,28.6,21.1,24.3,17.4,67.1,0,0,0,,0,0,26.3,18.4,305.6,1013.7,9.6,1.7,193.4,16.5,7,,7:12:21 AM,6:13:35 PM,0.43,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,04/1/15,30.1,21.1,25.3,30.5,21.1,25.6,17.3,62.3,0,0,0,,0,0,32.4,18.4,6.3,1013.8,9.2,2,200.5,17.4,8,,7:12:39 AM,6:14:13 PM,0.47,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,05/1/15,31.1,23.1,26.8,31,23.1,27,16.3,53,0,0,0,,0,0,33.1,22.3,36.8,1013.4,5,2.7,209.3,18,8,,7:12:56 AM,6:14:50 PM,0.5,Clear,☀️,Clear conditions throughout the day.,4.30E+10
Mumbai,06/1/15,31.1,23.1,26.1,31,23.1,26.2,17.3,59.4,0,0,0,,0,0,27.7,18.4,305,1013.4,0,2.2,209.1,18,8,,7:13:12 AM,6:15:28 PM,0.53,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,07/1/15,30.1,21.1,25.4,30.1,21.1,25.3,15.1,55.1,0,0,0,,0,0,32.8,16.6,310.5,1013.5,7.5,2,217.6,18.7,8,,7:13:27 AM,6:16:06 PM,0.57,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,08/1/15,31.1,20.1,25,30.4,20.1,24.8,12.4,46.9,0,0,0,,0,0,30.2,16.6,351.3,1013.4,13.6,2.1,216.2,18.7,8,,7:13:40 AM,6:16:44 PM,0.6,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,09/1/15,32.1,22.1,26.5,30.2,22.1,26,8.8,34.5,0,0,0,,0,0,27.7,18.4,40.3,1014.5,6.8,2.7,216.7,18.7,8,,7:13:53 AM,6:17:23 PM,0.63,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,10/1/15,31.1,21.1,25.3,29.9,21.1,25,10.9,41.9,0,0,0,,0,0,31.3,18.4,17.2,1015.3,2.5,2.3,222,19.2,8,,7:14:04 AM,6:18:01 PM,0.67,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,11/1/15,30.1,21.1,25.2,28.9,21.1,25,11.8,44.5,0,0,0,,0,0,31.3,20.5,313.1,1014.9,1.3,2.5,225.5,19.3,8,,7:14:14 AM,6:18:40 PM,0.7,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,12/1/15,30.1,20.1,24.9,29,20.1,24.6,12.2,46.8,0,0,0,,0,0,30.2,18.4,316.5,1014.6,0,2.4,225.7,19.3,8,,7:14:23 AM,6:19:19 PM,0.73,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,13/1/15,31.1,20.1,25.1,29.2,20.1,24.8,12.3,47,0,0,0,,0,0,28.4,18.4,347.9,1013.5,4,2.4,226.2,19.5,8,,7:14:30 AM,6:19:57 PM,0.75,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,14/1/15,29,20.1,24.4,28.4,20.1,24.3,13.9,52.8,0,0,0,,0,0,29.5,18.4,313.1,1012.7,8.8,1.8,222,19.3,8,,7:14:37 AM,6:20:36 PM,0.8,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,15/1/15,30.1,19.1,24.6,29.8,19.1,24.5,14.2,54.7,0,0,0,,0,0,27.4,15.5,330,1012.9,4.2,1.7,222.9,19.4,8,,7:14:42 AM,6:21:15 PM,0.83,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,16/1/15,29,21.1,24.8,29.5,21.1,24.7,14.4,53.8,0,0,0,,0,0,28.4,19.8,330.1,1013.6,14.4,2,222.3,19.4,8,,7:14:46 AM,6:21:53 PM,0.86,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,17/1/15,31.1,21.1,25.3,30.4,21.1,25,13.3,50.7,0,0,0,,0,0,28.8,18.4,349.9,1013.9,8.6,1.6,221.6,19.2,8,,7:14:48 AM,6:22:32 PM,0.89,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,18/1/15,31.1,22.1,25.4,29.7,22.1,25.2,13.5,49.4,0,0,0,,0,0,28.8,16.6,329.5,1013.6,2.5,1.8,221.5,19.2,8,,7:14:49 AM,6:23:10 PM,0.93,Clear,☀️,Clear conditions throughout the day.,4.30E+10
Mumbai,19/1/15,28.1,21.1,24.3,28.9,21.1,24.5,17.3,65.6,0,0,0,,0,0,24.8,20.5,282.9,1012.9,7,1.9,222.6,19.3,8,,7:14:49 AM,6:23:48 PM,0.96,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,20/1/15,29,21.1,24.8,28.9,21.1,24.8,17.9,68.1,0,0,0,,0,0,17.6,14.8,322,1014.7,16.5,1.8,216.1,18.8,8,,7:14:48 AM,6:24:27 PM,0,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,21/1/15,29,22.1,24.9,28.2,22.1,24.8,15.5,57.5,0,0,0,,0,0,25.6,22.3,296.4,1016.2,26.1,2.4,219.3,19,8,,7:14:46 AM,6:25:04 PM,0.02,Partially cloudy,⛅,Partly cloudy throughout the day.,"43003099999,remote"
Mumbai,22/1/15,28.1,22.1,24.5,28.9,22.1,24.7,17.4,65.2,0.1,100,4.17,rain,0,0,32.4,22.3,324,1016.5,50,2.7,172,14.8,6,,7:14:42 AM,6:25:42 PM,0.06,"Rain, Partially cloudy",🌧️,Partly cloudy throughout the day with morning rain.,"43003099999,remote"
Mumbai,23/1/15,29,21.1,24.8,28.9,21.1,24.9,16.1,59.1,0,0,0,,0,0,39.2,22.3,339.9,1014.8,39.2,2.9,214.4,18.6,8,,7:14:37 AM,6:26:19 PM,0.09,Partially cloudy,⛅,Partly cloudy throughout the day.,"43003099999,remote"
Mumbai,24/1/15,29,22.1,24.8,29.5,22.1,25,16.2,59.5,0,0,0,,0,0,32.4,25.2,324.5,1014,47.8,2.2,196.5,17,7,,7:14:31 AM,6:26:56 PM,0.13,Partially cloudy,⛅,Partly cloudy throughout the day.,"43003099999,remote"
Mumbai,25/1/15,30.1,22.1,25,29.8,22.1,25,17.1,63.9,0,0,0,,0,0,34.9,20.5,318.7,1015.2,54,2.1,209.7,18.3,7,,7:14:23 AM,6:27:33 PM,0.16,Partially cloudy,⛅,Partly cloudy throughout the day.,"43003099999,remote"
Mumbai,26/1/15,29,22.1,24.6,29.5,22.1,24.7,15.6,57.7,0,0,0,,0,0,41,20.5,327.7,1015.2,46.7,2.4,215.3,18.7,8,,7:14:14 AM,6:28:09 PM,0.2,Partially cloudy,⛅,Partly cloudy throughout the day.,"43003099999,remote"
Mumbai,27/1/15,28.1,20.1,23.4,28.1,20.1,23.4,14.3,57.2,0,0,0,,0,0,45.7,22.3,323.6,1013.8,18.3,2.3,226.1,19.4,8,,7:14:04 AM,6:28:45 PM,0.25,Clear,☀️,Clear conditions throughout the day.,4.30E+10
Mumbai,28/1/15,30.1,20.1,24.5,31.4,20.1,24.7,17.3,65,0,0,0,,0,0,37.4,21.2,325.5,1011.5,7.5,1.9,225.3,19.4,8,,7:13:53 AM,6:29:21 PM,0.27,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,29/1/15,30.1,20.1,24.7,31.4,20.1,24.9,17.1,63.8,0,0,0,,0,0,33.8,23,327.8,1012.9,0,2.5,230.1,20,8,,7:13:40 AM,6:29:56 PM,0.3,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,30/1/15,32.1,23.1,27.1,31.5,23.1,26.9,14.6,47.9,0,0,0,,0,0,28.8,22.3,57.2,1014.3,0,3.1,227.8,19.6,8,,7:13:26 AM,6:30:31 PM,0.34,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,31/1/15,33.1,24.1,27.9,32,24.1,27.6,12.7,40,0,0,0,,0,0,27.4,18.4,58.2,1014,0,3.3,232.9,20.1,8,,7:13:11 AM,6:31:06 PM,0.37,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,01/2/15,33.1,22.1,26.6,31.8,22.1,26.2,14.4,49.5,0,0,0,,0,0,24.5,16.6,305.7,1013.8,0,3,235.7,20.3,8,,7:12:55 AM,6:31:40 PM,0.41,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,02/2/15,29,22.1,25.5,30.4,22.1,25.7,16.5,58.5,0,0,0,,0,0,28.4,18.4,288,1014.1,6.3,3.1,235.7,20.4,8,,7:12:38 AM,6:32:13 PM,0.44,Clear,☀️,Clear conditions throughout the day.,4.30E+10
Mumbai,03/2/15,31.1,21.1,26.2,30.7,21.1,26,13.8,47.3,0,0,0,,0,0,28.4,16.6,319.2,1016.3,7.5,3.1,234.7,20.2,8,,7:12:19 AM,6:32:46 PM,0.48,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
Mumbai,04/2/15,33.1,24,27.7,32.3,24,27.4,15,47.7,0,0,0,,0,0,27.7,20.5,331,1015.9,14.6,2.9,236.7,20.4,8,,7:11:59 AM,6:33:19 PM,0.5,Clear,☀️,Clear conditions throughout the day.,"43003099999,remote"
