Place,Date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Thiruvananthapuram,01/1/15,32.1,23.9,27.5,39.3,23.9,30,23.7,80.4,1.513,100,4.17,rain,0,0,31.3,14.8,287.5,1009.1,43.2,4.9,222.5,19.2,8,,2015-01-01 6:36:27,2015-01-01 18:14:39,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,02/1/15,31.7,21.1,26.6,36.7,21.1,28.1,21.6,75,0,0,0,,0,0,23.8,11.2,304.4,1011.3,22.2,5.7,256.6,22.1,9,,2015-01-02 6:36:52,2015-01-02 18:15:10,0.4,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,03/1/15,31,21.7,26.8,36.7,21.7,28.6,21.5,73.6,0,0,0,,0,0,27.4,13,257.5,1011.8,31.3,5.3,257.4,22.2,9,,2015-01-03 6:37:16,2015-01-03 18:15:42,0.43,Partially cloudy,Partly cloudy throughout the day.,⛅,##########
Thiruvananthapuram,04/1/15,31,23.1,27.2,37.9,23.1,29.5,22.9,78.4,0,0,0,,0,0,27,16.6,240.2,1011.4,34.6,5.4,253.4,21.8,9,,2015-01-04 6:37:39,2015-01-04 18:16:13,0.47,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,05/1/15,31.2,24.1,27.6,36.7,24.1,30,22.9,76.3,0,0,0,,0,0,23.8,9.4,237.8,1010.9,33,5,250,21.6,9,,2015-01-05 6:38:02,2015-01-05 18:16:45,0.5,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,06/1/15,31.1,23.9,27.6,39.3,23.9,30.5,23.7,79.9,0,0,0,,0,0,23.4,11.2,225.3,1011.3,41.5,5,259.9,22.5,9,,2015-01-06 6:38:24,2015-01-06 18:17:16,0.53,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,07/1/15,31.1,24.1,27.8,37.9,24.1,30.7,23.8,79.4,0.2,100,4.17,rain,0,0,22.7,9.4,239.7,1011.6,42.3,4.5,219.1,19.1,8,,2015-01-07 6:38:46,2015-01-07 18:17:48,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,08/1/15,31.1,24.1,27.8,37.9,24.1,30.6,23.4,77.6,0.2,100,4.17,rain,0,0,22.3,11.2,225.4,1012.1,37.5,5,215.9,18.5,8,,2015-01-08 6:39:06,2015-01-08 18:18:19,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,09/1/15,31,25.3,27.5,37.9,25.3,29.8,23.6,79.4,0.3,100,8.33,rain,0,0,23,13,267.1,1012.6,54.8,4.7,216.7,18.7,7,,2015-01-09 6:39:26,2015-01-09 18:18:49,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,🌧️,"43371099999,remote,43372099999"
Thiruvananthapuram,10/1/15,31.8,24.1,27.5,37.9,24.1,30.1,23.1,77.7,0,0,0,,0,0,24.1,14.8,243.8,1011.8,38.8,5.1,235.5,20.2,8,,2015-01-10 6:39:45,2015-01-10 18:19:20,0.67,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,11/1/15,32.1,23.1,27.3,34.7,23.1,28.1,19.4,63.6,0,0,0,,0,0,25.9,11.9,156.9,1011.7,20.7,5.1,258.3,22.5,9,,2015-01-11 6:40:03,2015-01-11 18:19:50,0.7,Partially cloudy,Partly cloudy throughout the day.,⛅,"43371099999,remote,43372099999"
Thiruvananthapuram,12/1/15,31.7,22.4,26.9,33.1,22.4,27.5,18.5,61.3,0,0,0,,0,0,24.8,11.2,33.8,1011.7,18.9,4.9,261.1,22.6,9,,2015-01-12 6:40:21,2015-01-12 18:20:20,0.73,Clear,Clear conditions throughout the day.,☀️,"43371099999,remote,43372099999"
Thiruvananthapuram,13/1/15,31.1,21.1,26.4,33.8,21.1,27.3,19.4,66.7,0,0,0,,0,0,24.8,10.8,168.8,1010.9,14.7,4.4,269.8,23.5,9,,2015-01-13 6:40:37,2015-01-13 18:20:50,0.75,Clear,Clear conditions throughout the day.,☀️,"43371099999,remote,43372099999"
